metric_id,dataset,official_source_url,source_file,source_sheet,source_cell_row_1_based,source_cell_col_1_based,population,sex,jurisdiction,period,reference_period,experience_window,indicator,value_percent,rse_percent,reliability_flag,unit,notes
Table_1.3_r10_c2_Females_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,10,2,Persons aged 18 years and over,Females,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Sexual assault since age 15,19.9,2.7,generally_reliable_rse_under_25,percent,
Table_1.3_r10_c3_Males_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,10,3,Persons aged 18 years and over,Males,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Sexual assault since age 15,5.1,18.6,generally_reliable_rse_under_25,percent,
Table_1.3_r10_c4_Persons_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,10,4,Persons aged 18 years and over,Persons,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Sexual assault since age 15,12.6,4.1,generally_reliable_rse_under_25,percent,
Table_1.3_r16_c2_Females_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,16,2,Persons aged 18 years and over,Females,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total sexual violence since age 15,22.2,2.5,generally_reliable_rse_under_25,percent,
Table_1.3_r16_c3_Males_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,16,3,Persons aged 18 years and over,Males,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total sexual violence since age 15,6.1,16.5,generally_reliable_rse_under_25,percent,
Table_1.3_r16_c4_Persons_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,16,4,Persons aged 18 years and over,Persons,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total sexual violence since age 15,14.3,3.9,generally_reliable_rse_under_25,percent,
Table_1.3_r27_c2_Females_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,27,2,Persons aged 18 years and over,Females,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total physical violence since age 15,30.8,1.9,generally_reliable_rse_under_25,percent,
Table_1.3_r27_c3_Males_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,27,3,Persons aged 18 years and over,Males,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total physical violence since age 15,41.8,6.1,generally_reliable_rse_under_25,percent,
Table_1.3_r27_c4_Persons_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,27,4,Persons aged 18 years and over,Persons,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total physical violence since age 15,36.2,3.6,generally_reliable_rse_under_25,percent,
Table_1.3_r38_c2_Females_Australia_Since_age_15,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 1.3,38,2,Persons aged 18 years and over,Females,Australia,Since age 15,"2021-22 release, released 2023-03-15",Since age 15,Total violence since age 15,39.2,1.6,generally_reliable_rse_under_25,percent,
